id,cant_victimas,fecha,anio,mes,dia,hora,hora_int,dir,tipo_calle,calle,alt,cruce,dir_normalizada,comuna,point,longitud,latitude,victima,acusado
2017-0062,1,2017-05-15,2017,5,15,16:00:00,16,Av. Juan B Justo Y San Blas,Avenida,"JUSTO, JUAN B. AV.",0,San Blas,"Justo, Juan B. Av. Y San Blas",10,Point (95477.60201436 99478.59069542),-58.51262106,-34.63395999,Moto,Cargas
2017-0063,1,2017-05-17,2017,5,17,10:13:00,10,Chile Y Av. 9 De Julio,Avenida,CHILE,0,9 De Julio Av.,Chile Y 9 De Julio Av.,1,Point (107531.03549571 101417.11038758),-58.38118367,-34.61646839,Peaton,Pasajeros
2017-0064,1,2017-05-20,2017,5,20,05:00:00,5,Maipu Y Peron,Calle,MAIPU,0,"Peron, Juan Domingo, Tte. General","Maipu Y Peron, Juan Domingo, Tte. General",1,Point (107958.58079244 102597.49225224),-58.37653284,-34.60582475,Cargas,Auto
2017-0065,1,2017-05-22,2017,5,22,16:00:00,16,Av. Suarez Y Herrera,Avenida,SUAREZ AV.,0,Herrera,Suarez Av. Y Herrera,4,Point (107903.91828587 98767.43091425),-58.37709334,-34.64035082,Bicicleta,Cargas
2017-0066,1,2017-05-22,2017,5,22,18:10:00,18,Av. San Martin Y Fragata Sarmiento,Avenida,SAN MARTIN AV.,0,Fragata Pres. Sarmiento,San Martin Av. Y Fragata Pres. Sarmiento,15,Point (100300.69930045 102792.78597597),-58.46002142,-34.60409469,Peaton,Pasajeros
2017-0067,1,2017-05-23,2017,5,23,02:45:00,2,Av. Directorio Y Av. Jose Maria Moreno,Avenida,DIRECTORIO AV.,0,"Moreno, Jose Maria Av.","Directorio Av. Y Moreno, Jose Maria Av.",6,Point (102703.30911569 100138.40769771),-58.43381970,-34.62801894,Moto,Cargas
2017-0068,1,2017-05-27,2017,5,27,19:50:00,19,Av. Tte. Francisco Rabanal 2950,Avenida,"RABANAL, FRANCISCO, INTENDENTE AV.",2950,Nan,"Rabanal, Francisco, Intendente Av. 2950",8,Point (102520.03961549 96105.29592085),-58.43580656,-34.66437532,Moto,Objeto Fijo
2017-0069,1,2017-05-24,2017,5,24,14:15:00,14,Av. Gral. Paz Y Ulrico Schmidl,Avenida,"PAZ, GRAL. AV.",0,"Schmidl, Ulrico","Paz, Gral. Av. Y Schmidl, Ulrico",9,Point (94644.00300729 96592.22735507),-58.52173071,-34.65997463,Moto,Sd
2017-0070,1,2017-05-30,2017,5,30,13:20:00,13,Nueva York  3696,Calle,NUEVA YORK,3696,Nan,Nueva York 3696,11,Point (95907.08722675 103463.22327776),-58.50791763,-34.59804273,Peaton,Auto
2017-0072,1,2017-06-03,2017,6,3,23:20:00,23,Av. De Los Constituyentes Y Vallejos,Avenida,DE LOS CONSTITUYENTES AV.,0,Vallejos,De Los Constituyentes Av. Y Vallejos,12,Point (97389.59663507 105213.53381695),-58.49175088,-34.58226957,Auto,Auto
2017-0073,1,2017-06-04,2017,6,4,09:00:00,9,Av. Corrientes Y Ecuador,Avenida,CORRIENTES AV.,0,Ecuador,Corrientes Av. Y Ecuador,3,Point (105089.38820014 102773.44772064),-58.40781467,-34.60425669,Moto,Auto
2017-0074,1,2017-06-04,2017,6,4,12:50:00,12,Casco 133,Calle,CASCO,133,Nan,Casco 133,9,Point (94281.31244858 99043.29027489),-58.52567073,-34.63787791,Sd,Sd
2017-0075,1,2017-06-12,2017,6,12,22:38:00,22,Av. De Mayo Y Av. 9 De Julio,Avenida,DE MAYO AV.,0,9 De Julio Av.,De Mayo Av. Y 9 De Julio Av.,1,Point (107498.83241886 102238.54924157),-58.38154200,-34.60906385,Peaton,Moto
2017-0076,1,2017-06-13,2017,6,13,14:50:00,14,Av. Ramon Castillo Y Calle 12,Avenida,"CASTILLO, RAMON S., PRES. AV.",0,Calle 12 (No Oficial),"Castillo, Ramon S., Pres. Av. Y Calle 12 (No Oficial)",2,Point (107160.34141948 105678.38284277),-58.38526125,-34.57805810,Peaton,Cargas
2017-0077,1,2017-06-17,2017,6,17,23:45:00,23,Fray Justo Santamaria De Oro 1930,Calle,FRAY JUSTO SANTAMARIA DE ORO,1930,Nan,Fray Justo Santamaria De Oro 1930,14,Point (103115.59520137 104964.08461543),-58.42934104,-34.58451712,Moto,Cargas
2017-0079,1,2017-06-19,2017,6,19,16:26:00,16,Mexico Y Dean Funes,Calle,MEXICO,0,Dean Funes,Mexico Y Dean Funes,3,Point (105202.26736061 101269.73269565),-58.40657493,-34.61781124,Moto,Cargas
2017-0080,1,2017-06-22,2017,6,22,10:15:00,10,Av. Juan B Alberdi Y Av. Escalada,Avenida,"ALBERDI, JUAN BAUTISTA AV.",0,Escalada Av.,"Alberdi, Juan Bautista Av. Y Escalada Av.",9,Point (97070.50716478 98268.08001276),-58.49525314,-34.64487785,Peaton,Cargas
2017-0082,1,2017-06-25,2017,6,25,22:40:00,22,Av. Entre Rios Y Av. Brasil,Avenida,ENTRE RIOS AV.,0,Brasil,Entre Rios Av. Y Brasil,4,Point (106636.30041967 99991.34072603),-58.39092851,-34.62932696,Peaton,Auto
2017-0083,1,2017-07-04,2017,7,4,00:25:00,0,Av. Juan B Alberdi Y Guardia Nacional,Avenida,"ALBERDI, JUAN BAUTISTA AV.",0,Guardia Nacional,"Alberdi, Juan Bautista Av. Y Guardia Nacional",9,Point (96998.81124177 98183.20743664),-58.49603546,-34.64564271,Moto,Cargas
2017-0084,1,2017-07-05,2017,7,5,12:49:00,12,Av. Del Libertador Y Rodriguez Peña,Avenida,DEL LIBERTADOR AV.,0,Rodriguez Pe?A,Del Libertador Av. Y Rodriguez Peã‘A,2,Point (107180.90591568 104682.54945160),-58.38502878,-34.58703485,Peaton,Pasajeros
2017-0085,1,2017-07-07,2017,7,7,14:15:00,14,Tacuari Y Av. Martin Garcia,Avenida,TACUARI,0,"Garcia, Martin Av.","Tacuari Y Garcia, Martin Av.",4,Point (108315.72323297 99748.45783960),-58.37261143,-34.63150425,Peaton,Pasajeros
2017-0086,1,2017-07-09,2017,7,9,07:30:00,7,Av. Rivadavia Y Murguiondo,Avenida,RIVADAVIA AV.,0,Murguiondo,Rivadavia Av. Y Murguiondo,9,Point (94914.28538682 98912.56901137),-58.51876802,-34.63905965,Peaton,Moto
2017-0087,1,2017-07-10,2017,7,10,10:45:00,10,24 De Noviembre 390,Calle,24 DE NOVIEMBRE,390,Nan,24 De Noviembre 390,3,Point (104800.65774098 101563.94663965),-58.41095567,-34.61516101,Peaton,Auto
2017-0088,1,2017-07-10,2017,7,10,22:30:00,22,Av. Paseo Colon Y Brasil,Avenida,PASEO COLON AV.,0,Brasil Av.,Paseo Colon Av. Y Brasil Av.,1,Point (108741.48238670 100448.08502809),-58.36797542,-34.62519403,Peaton,Pasajeros
2017-0089,1,2017-07-13,2017,7,13,12:05:00,12,Martiniano Leguizamon 901,Calle,"LEGUIZAMON, MARTINIANO",901,Nan,"Leguizamon, Martiniano 901",9,Point (95246.78684010 97935.32361317),-58.51514709,-34.64787051,Sd,Auto
2017-0090,1,2017-07-15,2017,7,15,05:15:00,5,Av. Chivilcoy Y Colectora Av. Gral. Paz ,Avenida,CHIVILCOY AV.,0,"Paz, Gral. Av.","Chivilcoy Av. Y Paz, Gral. Av.",11,Point (94866.55993974 104164.40879727),-58.51925642,-34.59171721,Peaton,Auto
2017-0091,1,2017-07-15,2017,7,15,13:00:00,13,Superi Y Av. Gral. Paz,Avenida,SUPERI,0,"Paz, Gral. Av.","Superi Y Paz, Gral. Av.",12,Point (97850.57417090 109546.39428377),-58.48671535,-34.54321216,Moto,Sd
